"LANGUAGE","Українська"
"LBR_NAME","Lifecycle Rebalance Revisited"
"LBR_DESC","Збільшує та рандомізує життя громадян, рандомізує рівні віку та освіти іммігрантів та змінюють те, як громадяни подорожують до роботи та від роботи"
"LBR_SPN","Тривалість життя"
"LBR_SPN_WRN","Увага"
"LBR_SPN_BAL","Зміна налаштувань під час гри може тимчасово порушити баланс міста."
"LBR_SPN_BAK","Збереження резервної копії перед зміною НАСТІЙНО рекомендується."
"LBR_CAL","Модель обчислення життєвого циклу"
"LBR_CAL_SUN","Тривалість життя Sunset Harbor (за замовчуванням)"
"LBR_CAL_LEG","Попередня тривалість життя (оригінальна WG модифікація) - коротша тривалість життя, менше пенсіонерів"
"LBR_CAL_VAN","Ванільна Sunset Harbor тривалість життя – менш змінна, трохи більше літніх людей"
"LBR_SHO","(лише при використанні тривалості життя Sunset Harbor)"
"LBR_RET","Налаштування пенсійного віку"
"LBR_RET_USE","Використовувати власний вік виходу на пенсію"
"LBR_RET_CUS","Власний вік виходу на пенсію"
"LBR_RET_NT1","Зменшення віку виходу на пенсію не змінить статус громадян, які вже вийшли на пенсію в попередніх умовах."
"LBR_RET_NT2","Збільшення віку виходу на пенсію не змінить статус громадян, які вже вийшли на пенсію в попередніх умовах."
"LBR_CHI","Опції віку дитинства"
"LBR_CHI_CUS","Використовувати користувацький вік дитинства"
"LBR_CHI_SCH","Вік у якому діти починають навчатись в школі"
"LBR_CHI_TEE","Вік у якому діти поступають до старшої школи"
"LBR_CHI_YOU","Вік у якому молоді люди поступають у коледж/університет"
"LBR_HEA","Здоров'я"
"LBR_HEA_ILL","Випадковий шанс захворіти (в %) за десять років життя"
"LBR_HEA_ILD","Не впливає на хворобу зі специфічних причин, наприклад, забруднення або шум"
"LBR_HEA_AGE","Вік"
"LBR_DTH","Смерть"
"LBR_DTH_TRN","% від мертвих, які вимагають перевезення після смерті"
"LBR_DTH_TRD","(За замовчуванням у грі - 67%, за замовчуванням у моді - 50%)"
"LBR_IMM","Імміграція"
"LBR_IMM_VAR","Застосувати 25% діапазон для рівня освіти іммігрантів"
"LBR_IMM_INC","Збільшити середній рівень освіти іммігрантів"
"LBR_IMM_DEC","Зменшити середній рівень освіти іммігрантів"
"LBR_SET","Налаштування"
"LBR_SET_LGD","Вести журнал смертей у 'Lifecycle death log.txt'"
"LBR_SET_LGI","Вести журнал іммігрантів у 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","Записувати користувацькі транспортні рішення в 'Lifecycle transport log.txt' ПОПЕРЕДЖЕННЯ - НАДПОВІЛЬНО!"
"LBR_SET_LGS","Вести журнал хвороб до 'Lifecycle хвороби log.txt'"
"LBR_SPD","Швидкість"
"LBR_SPD_FAC","Фактор уповільнення швидкості старіння громадян, у порівнянні з базовою грою."
"LBR_SPD_FN1","1 - це базова швидкість гри (35 внутрішньоігрових тижнів дорівнює 10 років), 2 - вдвічі повільніше (70 ігрових тижнів протягом 10 років), 3 - втричі повільніше, і т. д. Мультиплікатор у 15 означає, що громадяни будуть старіти приблизно на один рік для кожного ігрового року."
"LBR_SPD_FN2","Не впливає на життєвий цикл чи вік - тільки швидкість, з якою жителі старіють відносно швидкості гри."
"LBR_SPD_FN3","(За замовчуванням у грі - 1%, за замовчуванням у моді - 3)"
"LBR_TRN","Транспорт"
"LBR_TRN_CUS","Використовувати індивідуальні ймовірності транспортного режиму"
"LBR_TRN_WEA","Рівень достатку"
"LBR_TRN_CAR","Імовірність використання авто (%)"
"LBR_TRN_BIK","Імовірність використання велосипедів (%)"
"LBR_TRN_TAX","Імовірність використання таксі (%)"
"LBR_TRN_RLO","Житлова забудова низької щільності"
"LBR_TRN_RHI","Житлова забудова високої щільності"
"LBR_TRN_RW2","Житлова стінка"
"LBR_TRN_ERL","Житлова еко забудова низької щільності"
"LBR_TRN_ERH","Житлова еко забудова високої щільності"
"LBR_TRN_CHL","Дитина"
"LBR_TRN_TEN","Підліток"
"LBR_TRN_YAD","Молодий"
"LBR_TRN_ADL","Дорослий"
"LBR_TRN_SEN","Пенсіонер"
"LBR_DEF","за замовчуванням"
"LBR_RTD","Відновити за замовчуванням"
"LBR_RTS","Відновити збережене"
"LBR_SAA","Зберегти та застосувати"
"LBR_ZRO","Встановити все до нуля"
"LBR_150_TIT","Версію моду ""Rebalance Revisited"" було оновлено до версії 1.5"
"LBR_150_NT1","Вибір режиму перевезення тепер можна змінювати через панель налаштувань, а еко та звичайні житлові умови можуть мати різні варіанти"
"LBR_150_NT2","Рівень освіти людей, що переїжджають у ваше місто, може бути змінено"
"LBR_151_NT1","Налаштування вигляду панелі опцій для перекладів"
"LBR_152_NT1","Батьки-одиночки з неповнолітніми дітьми, які живуть вдома, будуть позбавлені ранньої смерті, щоб допомогти уникнути сиротинських домогосподарств"
"LBR_152_NT2","Поліпшена перевірка конфлікту модів та сповіщення"
"LBR_152_NT3","Вдосконалені сповіщення"
"LBR_154_NT1","Зміна підходу до смерті батьків-одиночок: видаляти дітей сиріт, коли обидва батьки вмирають (замість того, щоб позбавити батьків від смерті)"
"LBR_154_NT2","Додати код для перевірки та видалення мешканців з пошкодженими даними"
"LBR_160_NT1","ВЕЛИКА НОВА ФУНКЦІЯ: реалістичне старіння та прогрес, від раннього дитинства до повноліття (необов'язкова, настроювана)"
"LBR_160_NT2","Нова стадія раннього життя відповідає цінностям та стадіям реального світу, і включає дошкільне життя (маленькі діти)"
"LBR_160_NT3","Ця опція може бути ввімкнена/вимкнена та налаштована в панелі опцій моду"
"LBR_160_NT4","ПРИМІТКА: цю опцію спочатку увімкнено за замовчуванням"
